Book_name,Author_name,price,rated_bys,reviews,customer_review_summaries,book_summaries
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,205,"9,745 ratings",4.4,Customers find the book easy to understand and realistic. They also appreciate the short length and small print. Readers describe the content as the best guide for understanding distractions and Dopamine's functionality. They say the book is practical and makes them feel their inner self.,"Reclaim your focus in 48 hours or less. Do you keep procrastinating? Do you feel restless and unable to focus on your work? Do you have trouble getting excited about major goals? If so, you might need a dopamine detox. In today’s world where distractions are everywhere, the ability to focus has become more and more difficult to achieve. We are constantly being stimulated, feeling restless, often without knowing why. When the time comes to work, we suddenly find an excess of other things to do. Instead of working toward our goals, we go for a walk, grab a coffee, or check our emails. Everything seems like a great idea—everything except the very things we should be doing. Do you recognize yourself in the above situation? If so, don’t worry. You’re simply overstimulated. Dopamine Detox will help you lower your level of stimulation and regain focus in 48 hours or less,so that you can tackle your key tasks. More specifically, in Dopamine Detox you’ll discover: what dopamine is and how it works; the main benefits of completing a dopamine detox; 3 simple steps to implement a successful detox in the next 48 hours; practical exercises to eliminate distractions and boost your focus; simple tools and techniques to avoid overstimulation and help you stay focused, and much more. Dopamine Detox is your must-read, must-follow guide to help you remove distractions so you can finally work on your goals with ease. If you like easy-to-understand strategies, practical exercises, and no-nonsense teaching, you will love this book."
Autobiography of A Yogi,Paramahansa Yogananda,169,"11,209 ratings",4.6,"Customers find the book very readable and well explained. They also say it delivers hits of spiritual thinking in every chapter, with scientific data to back it up. Readers describe the book as amazing for beginners, with a well documented yogi life journey. Opinions are mixed on the printing quality, with some finding it good and others saying the paper used is very poor.","Inspiring stalwarts like the Beatles, Steve Jobs and Ravi Shankar, Autobiography of a Yogi is an immensely gratifying spiritual read that has altered and enriched the lives of millions across the world, since it was first published in 1946. An originative text that tells the story of Paramhansa Yogananda, this book has been revered for its memorable, incisive and instructive teachings. This spiritual autobiography will take you on an incredible journey of Indian mysticism and spirituality and deliver humbling, comforting truths about life and existence.A book that deserves a place in every home.."
The Alchemist,Paulo Coelho,275,"150,115 ratings",4.6,"Customers find the book thrilling enough to keep them engaged and easy to read. They also say it teaches them many life lessons in the form of small anecdotes. Readers describe the content as nice for beginners. They mention that the book is tiny and not very lengthy. They appreciate the positive vibes it fills them with. However, some find the plot predictable and overhyped. Opinions are mixed on the printing quality, with some finding it impeccable and others saying it's not good.","Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and inspiring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried in the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself"
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,205,"9,745 ratings",4.4,Customers find the book easy to understand and realistic. They also appreciate the short length and small print. Readers describe the content as the best guide for understanding distractions and Dopamine's functionality. They say the book is practical and makes them feel their inner self.,"Reclaim your focus in 48 hours or less. Do you keep procrastinating? Do you feel restless and unable to focus on your work? Do you have trouble getting excited about major goals? If so, you might need a dopamine detox. In today’s world where distractions are everywhere, the ability to focus has become more and more difficult to achieve. We are constantly being stimulated, feeling restless, often without knowing why. When the time comes to work, we suddenly find an excess of other things to do. Instead of working toward our goals, we go for a walk, grab a coffee, or check our emails. Everything seems like a great idea—everything except the very things we should be doing. Do you recognize yourself in the above situation? If so, don’t worry. You’re simply overstimulated. Dopamine Detox will help you lower your level of stimulation and regain focus in 48 hours or less,so that you can tackle your key tasks. More specifically, in Dopamine Detox you’ll discover: what dopamine is and how it works; the main benefits of completing a dopamine detox; 3 simple steps to implement a successful detox in the next 48 hours; practical exercises to eliminate distractions and boost your focus; simple tools and techniques to avoid overstimulation and help you stay focused, and much more. Dopamine Detox is your must-read, must-follow guide to help you remove distractions so you can finally work on your goals with ease. If you like easy-to-understand strategies, practical exercises, and no-nonsense teaching, you will love this book."
"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",Murty Sudha,180,"11,429 ratings",4.6,"Customers find the writing quality nice, warm, and thought-provoking. They also appreciate the heartwarming real-life incidents and pragmatic situations. Readers describe the writing style as simple in text but learnable. They say the stories are good and can make eyes watery.","So often, it's the simplest acts of courage that touch the lives of others. Sudha Murty-through the exceptional work of the Infosys Foundation as well as through her own youth, family life and travels-encounters many such stories... And she tells them here in her characteristically clear-eyed, warm-hearted way. She talks candidly about the meaningful impact of her work in the devadasi community, her trials and tribulations as the only female student in her engineering college and the unexpected and inspiring consequences of her father's kindness. From the quiet joy of discovering the reach of Indian cinema and the origins of Indian vegetables to the shallowness of judging others based on appearances, these are everyday struggles and victories, large and small. Unmasking both the beauty and ugliness of human nature, each of the real-life stories in this collection is reflective of a life lived with grace."
THE BLUE UMBRELLA,Ruskin Bond,125,"15,909 ratings",4.5,"Customers like the characters, saying they are well-written, and the narrative makes you imagine every character. They also appreciate the value, saying it's worth the price. Readers also mention that the emotional tone is heartwarming, and that the book is short. They are happy with content, age range, and readability. However, some customers have reported missing pages.","The Umbrella was like a flower, a great blue flower that had sprung up on the dry brown hillside.'In exchange for her lucky leopard's claw pendant, Binya acquires a beautiful blue umbrella that makes her the envy of everyone in her village, especially Ram Bharosa, the shop-keeper. Ruskin Bond's short and humorous novella, set in the picturesque hills of Garhwal, perfectly captures life in a village, where both heroism and redemption can be found."
The Monk Who Sold His Ferrari,Robin Sharma,198,"34,075 ratings",4.5,"Customers find the content in the book to be a life changer, good for professionals who work in stressful environments, and kindling your inner fire. They also appreciate the writing style as nice and good techniques on mastering your mind and thought processes. However, some find the entertainment value boring and not worth buying.","A renowned inspirational fiction, The Monk Who Sold His Ferrari is a revealing story that offers the readers a simple yet profound way to live life. The plot of this story revolves around Julian Mantle, a lawyer who has made his fortune and name in the profession. A sudden heart-attack creates havoc in the successful lawyer?s life. Jolted by the sudden onset of the illness, his practice comes to a standstill. He ponders over material success being worth it all, renounces all of it and leaves for India. A visit to India about a spiritual awakening that opens up new vistas and Julian begins to view life in a different perspective. He decides to live his life once again but in a way that is much more fulfilling and meaningful than before. In the book, the reader goes through a spiritual journey and into a very old culture that has gathered much wisdom over the millennia. The book advocates about how to live happily, think deep and rightly, value time and relationships, be more disciplined, follow the heart?s call and live every moment of the life. Written in simple words, the book has turned out to be a bestseller and is more than just an endearing story. Through storytelling, Robin Sharma showcases the miracles and wonders of living a fulfilling life. In the process, the book introduces readers to enlightening yet simple principles that vouch to make life better, happier and more meaningful. A bestselling novel, what readers all over the globe appreciate about this book is its deft amalgam of the philosophies from both western and eastern worlds. The book has been followed by important personalities around the world. About the Author Robin Sharma, the bestselling author of 'The Monk Who Sold His Ferrari', first published in 1999, is an International Leadership Professional Guru who is credited with having written 15 books on leadership. He has been guiding people to live a better life, by drawing inspiration from his own life experiences. The Leader Who Had No Title, The Leader Who Had No Title, The Greatness Guide and The Saint and The Saint are among his best books. He heads the Sharma Leadership International Inc, a firm that trains people in leadership. A former litigation lawyer, Robin holds a law degree from Dalhousie Law School, Canada. This book along with The Greatness Guide has been among the world?s bestsellers and has been translated in as many as 70 languages all over the world."
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Murty Sudha,199,"20,993 ratings",4.6,"Customers find the book has great moral values that make them happy and joyful. They also say the vocabulary is easy to read and the book is a great way to teach kids real life lessons. Readers also say that the stories are good and funny. However, some find the stories too lengthy.","Memories of a grandparent spinning tales around animals and mysterious characters have kept many of us rapt till date. Sudha Murty's Grandmas Bag of Stories is simply delightful. The story starts with Anand, Krishna, Raghu and Meena arriving at their grandparents house in Shiggaon. Overjoyed Ajji and Ajja(Grandmother and grandfather in Kannada) get the house ready, while Ajji prepares delicious snacks for children. Finally, times comes when everyone gathers around Ajji, as she opens her big bag of stories. She tells stories of kings and cheats, princesses and onions, monkeys and mice and scorpions and hidden treasures."
"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,289,"4,990 ratings",4.3,No reviews,"Speed read people, decipher body language, detect lies, and understand human nature. ""Read People Like a Book"" isn’t a normal book on body language or facial expressions. Yes, it includes all of those things, as well as new techniques on how to truly detect lies in your everyday life, but this book is more about understanding human psychology and nature. It reminds us that we are who we are because of our experiences and pasts, and this guides our habits and behaviors more than anything else. It helps us to: Take a look inside yourself and others; understand the subtle signals that you are sending out and increase your emotional intelligence; learn the keys to influencing and persuading others; learn how to become a “mind reader” and forge deep connections."
How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,135,"84,379 ratings",4.5,"Customers find the principles simple but very effective. They also say the book provides practical advice on how to influence people and provides beautiful real-life examples. Readers describe the book as helpful for enhancing communication and avoiding arguments. They say the writing and font size is good. However, some customers find many pages missing in the book. Opinions are mixed on the story/plot, with some finding it soothing to read and others finding it boring. Customers disagree on the originality, with others saying it's accurate and original. They disagree on timelessness, with one saying it’s timeless while others say it’ll be outdated.","""Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions. """
"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,138,"6,936 ratings",4.6,"Customers say the book contains great thoughts and precious letters of Singh to his parents and friends. Opinions are mixed on the printing quality and writing quality, with some finding it good and easy to understand, while others find it poor and challenging to comprehend.","Bhagat Singh is a name that became synonymous with revolution in India’s struggle for independence. This young boy brought about a change in the way people thought about freedom. He was well read and fought extensively for rights – his own, his comrades’ and his countrymen’s. A discussion with a friend soon turned into a matter of self-assessment for Bhagat Singh, leading to a discourse on why he chose to be an atheist. Even in the face of death at a very young age, his uncanny observation leads to his putting forth some pertinent questions. On another occasion, he was disappointed with his father’s plea in Court for his innocence and chose to write a letter to him. This book is a collection of eighteen of his valued writings from within the walls of prison and outside it, which show us the resolve in his words, and the bravery in his acts subsequently."
"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]",Dale Carnegie,118,"1,515 ratings",4.5,"Customers find the book very readable and in good condition. They also appreciate the helpful tips and insightful advice. Opinions are mixed on the text clarity, with some finding it simple and easy to follow and implement, while others find missing text in between paragraphs and faint printing on some pages.","In How to Stop Worrying and Start Living, bestselling author Dale Carnegie helps you break the destructive habit of worrying and teaches you how to live a happier, stress-free life. This book will tell you how to: ? Analyze and solve worrisome situations ? Develop a positive mental attitude ? Overcome depression ? Banish boredom ? Battle fatigue and feel more energized With practical advice, helpful suggestions and important facts about worry and its causes, this book provides sure-shot ways to banish all your blues."
Chanakya Neeti,Radhakrishnan Pillai,248,"2,019 ratings",4.5,"Customers find the book's content amazing, with nice representation of Chanakya's thought with examples. They also describe the lessons as great, knowledgeable, and applicable. Opinions are mixed on the writing quality, with some finding it simple and enjoyable, while others say it has translation mistakes and lacks thorough understanding of the topic.","Strategies for Success“An action contemplated shouldn’t ever be advertised; But kept a secret like a mantra, and revealed in time.”We all feel stuck at times. There could be many reasons for this—issues at work, unhappy family life, financial troubles or embarrassing social situations. Most of us could use a little advice in these circumstances. Chanakya Neeti provides precisely that guidance to face life’s many daunting challenges. Chanakya, the great thinker and teacher, is well-known for his insights into the needs of both the privileged and the masses. The original Chanakya Neeti was written over two thousand years ago, but its brilliant verses are still applicable today because the basic quests of man remain the same—peace, prosperity and happiness. In this volume, Radhakrishnan Pillai offers a modern interpretation of Chanakya’s crisp and practical maxims in his characteristic easy-to-follow and elegant prose. Imbibe Chanakya’s wisdom to break loose from the web of troubles and create the life you desire on your terms.Radhakrishnan Pillai is the bestselling author of Corporate Chanakya, Chanakya’s 7 Secrets of Leadership, Chanakya in You, Katha Chanakya and Thus Spoke Chanakya. He has a Master’s degree in Sanskrit and has done his PhD in Kautilya’s Arthashastra. A renowned management consultant and speaker, he is the Deputy Director of the Chanakya International Institute of Leadership Studies (CIILS) at the University of Mumbai. He tweets using the handle @rchanakyapillai and is also active on other major social media platforms."
Who Will Cry When You Die?,Robin Sharma,175,"20,606 ratings",4.4,"Customers find the book written in simple words and easy to handle. They say the plot is highly captivating, inspiring, and no non-sense. They also say the small chapters keep the story interesting and never bore them. Customers say the book provides a deeper understanding of life and has beautiful quotes from renowned authors.","Life Lessons From The Monk Who Sold His Ferrari Do You Feel that life is slipping by so fast that you might never get the chance to live with the meaning, happiness and joy you know you deserve? If so, then this book will be the guiding light that leads you to a brilliant new way of living. In this easy-to-read yet wisdom-rich manual, the author offers 101 simple solutions to life’s most complex problems, ranging from a little-known method for beating stress and worry to a powerful way to enjoy the journey while you create a legacy that lasts. “When You Were Born, You Cried While The World Rejoiced. Live Your Life In Such A Way That When You Die, The World Cries While You Rejoice.” Ancient Sanskrit Saying"
I Don't Love You Anymore: Moving On and Living Your Best Life | National Bestseller by Rithvik Singh | Original Edition,Rithvik Singh,246,346 ratings,4.1,"Customers find the book full of emotions and relatable. They also say it helps them move on and teach self love. However, some customers feel the plot lacks a storyline.","Dear reader,"
The Monk Who Sold His Ferrari,Robin Sharma,198,"34,075 ratings",4.5,"Customers find the content in the book to be a life changer, good for professionals who work in stressful environments, and kindling your inner fire. They also appreciate the writing style as nice and good techniques on mastering your mind and thought processes. However, some find the entertainment value boring and not worth buying.","A renowned inspirational fiction, The Monk Who Sold His Ferrari is a revealing story that offers the readers a simple yet profound way to live life. The plot of this story revolves around Julian Mantle, a lawyer who has made his fortune and name in the profession. A sudden heart-attack creates havoc in the successful lawyer?s life. Jolted by the sudden onset of the illness, his practice comes to a standstill. He ponders over material success being worth it all, renounces all of it and leaves for India. A visit to India about a spiritual awakening that opens up new vistas and Julian begins to view life in a different perspective. He decides to live his life once again but in a way that is much more fulfilling and meaningful than before. In the book, the reader goes through a spiritual journey and into a very old culture that has gathered much wisdom over the millennia. The book advocates about how to live happily, think deep and rightly, value time and relationships, be more disciplined, follow the heart?s call and live every moment of the life. Written in simple words, the book has turned out to be a bestseller and is more than just an endearing story. Through storytelling, Robin Sharma showcases the miracles and wonders of living a fulfilling life. In the process, the book introduces readers to enlightening yet simple principles that vouch to make life better, happier and more meaningful. A bestselling novel, what readers all over the globe appreciate about this book is its deft amalgam of the philosophies from both western and eastern worlds. The book has been followed by important personalities around the world. About the Author Robin Sharma, the bestselling author of 'The Monk Who Sold His Ferrari', first published in 1999, is an International Leadership Professional Guru who is credited with having written 15 books on leadership. He has been guiding people to live a better life, by drawing inspiration from his own life experiences. The Leader Who Had No Title, The Leader Who Had No Title, The Greatness Guide and The Saint and The Saint are among his best books. He heads the Sharma Leadership International Inc, a firm that trains people in leadership. A former litigation lawyer, Robin holds a law degree from Dalhousie Law School, Canada. This book along with The Greatness Guide has been among the world?s bestsellers and has been translated in as many as 70 languages all over the world."
The Law of Success In Sixteen Lessons,Napoleon Hill,299,"1,932 ratings",4.5,"Customers say the writing quality is good overall. They disagree on the content, with some finding it informative and interesting, while others say it's boring and unnecessary.","“Fears are nothing more than a state of mind.”From helping you rid yourself of aimlessness and find a definite purpose to teaching you the art of negotiating harmoniously with others, this course on the fundamentals of success will guide you, lesson by lesson, through the sixteen laws of success, which include mastering fears and increasing self-confidence, inculcating the habit of saving your income, stimulating your imagination, practicing self-control, accurate thinking and profiting by failure. With valuable insights on how the famous American millionaires became successful, Napoleon Hill’s The Law of Success in Sixteen Lessons is a classic bestseller. It continues to inspire and guide readers to achieve their dreams and become successful."
The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,299,797 ratings,4.6,"Customers find the book interesting and enlightening, with clear and engaging content. They describe the reading experience as fantastic, accessible to all readers, and increase positivity, productivity, and prosperity. Readers also appreciate the engaging storytelling and short chapters. They also mention the relationships are interconnected and well narrated.",""""
Your Brain on Art: How the Arts Transform Us,Susan Magsamen,418,505 ratings,4.5,No reviews,THE
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,184,"9,047 ratings",4.4,"Customers find the illustrations beautiful and colorful. They also say the content is nice and convenient for toddlers to sit and listen. Readers appreciate the great print pics and fonts. They say the writing style is fantastic and easy to read through to kids. However, some customers feel the stories are too brief to enjoy the story and need more pages added.","This amazing collection of 5 books helps parents to easily introduce their curious kids to the world of Hindu Gods. It comprises some interesting and enchanting stories about Mahabharata, God Krishna, God Hanuman, God Ganesha and Ramayana along with beautiful and colorful illustrations for the kids to effectively relate to the stories and enhance their knowledge."
Night Train at Deoli and Other Stories,Ruskin Bond,204,"1,369 ratings",4.5,"Customers find the book nice, light, and heartwarming. They also appreciate the beautifully described scenic beauty and the emotional tone that evokes a certain string of emotions and makes them feel relaxed. Readers also describe the story structure as good and a good collection of stories.","Adorned with 30 beautiful stories from Ruskin Bond, the book Night Train at Deoli and other stories effortlessly makes in to the must-have, must-read list of every reader. Simple, heart-warming and thought-provoking stories will take you to heavenly grounds of Dehradun and Mussoorie, where the author himself has spent his childhood and teenage years. The stories in the book speak of simple folk, who live in the technology untouched valleys and hills, the lush greenery and little crowded markets."
The End of Reality,Jonathan Taplin,472,50 ratings,4.2,No reviews,"'A wake-up call ... fascinating' Scott Galloway, author of"
"Stop Negative Thinking: How To Control Your Thoughts, Stop Overthinking, And Transform Your Mental Habits (English)",Nick Trenton,214,29 ratings,4.4,No reviews,"Learn how embracing self-acceptance and compassion can transform your life. 'Stop Negative Thinking' understands your challenges intimately, addressing insomnia, heightened reactions, sensitivity and more. The author, having experienced similar struggles, offers effective guidance. The book delves into the psychology behind negative thinking, revealing how damaging self-perceptions lead to cognitive distortions. It then guides you through preempting, managing, and ultimately conquering these thoughts."
101 Essays That Will Change The Way You Think,Brianna Wiest,383,"15,858 ratings",4.3,No reviews,"101 Essays That Will Change The Way You Think, the global bestseller and social media phenomenon, is a collection of author Brianna Wiest's most beloved pieces of writing. Her meditations include why you should pursue purpose over passion, embrace negative thinking, see the wisdom in daily routine, and become aware of the cognitive biases that are creating the way you see your life. Some of these pieces have never been seen; others have been read by millions of people around the world. Regardless, each will leave you thinking: this idea changed my life."
One Arranged Murder,Chetan Bhagat,200,"22,593 ratings",4.3,"Customers find the humor in the book plenty. They also find the characters relatable and the plot interesting enough to keep them glued to the book. Readers describe the book as very easy to read with Indian colloquial words. They find the pacing fast and entertaining, making it a good weekend time pass.","Keshav has set up an investigation agency with his best friend, Saurabh. Can the two amateur detectives successfully solve another murder case that affects them personally? And where will it leave their friendship?"
"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,231,211 ratings,4.6,"Customers find the books awesome, with interesting content for kids. They also describe them as nice story books.","Embark on a journey through the world of science with this set of biographies of ten scientists from India and around the world. This amazing collection introduces young readers to the brilliant minds behind groundbreaking discoveries and innovations, showcasing the incredible journeys of these scientists. This set is a must-have addition to any young reader's library, fostering a love for learning and an early appreciation for the wonders of science. It is perfect for curious minds eager to explore the fascinating world of science!"
Miracles of Your Mind,Dr. Joseph Murphy,130,"3,328 ratings",4.4,"Customers find the content in the book interesting, as it explains the miracles of the mind. They also say the do's and don'ts are dependent on the reader, making the book more interesting.","In this work Dr. Joseph Murphy expands on his theory that the latent powers inherent in our subconscious can improve our lives. He discusses the two minds that each of us possess; the objective mind and the subjective mind, and how to integrate them. He also explains how to harness of the power of mind, especially the subconscious min. Dr. Murphy provides specific steps to nourish your conscious mind with the tools and attitudes that will open up the infinite power of your subconscious mind. Whether you wish to conquer a bad habit, be more successful, obtain harmony in your family, or achieve goals that have thus far been unattainable, you will be given guidelines to put you on the right path. Joseph Murphy (1898-1981), the founder of The Church of Divine Science, produced books, tapes, and radio broadcasts on spiritual matters, the historical values of life, the art of wholesome living, and the teachings of great philosophers-both from the Eastern and Western cultures. Dr. Murphy wrote more than 30 books."
Operation Payback,Aditi Mathur Kumar,215,69 ratings,4.5,"Customers find the details in the book right and the author has paid attention to the story. They also describe the emotional storyline as heartwarming, with clever twists and a strong heroine. Customers also describe it as an amazing book.","A born planner, Meera has a clear vision of the future she will have with her beloved husband, Capt. Ranvijay. A job in Pune for herself and a peace station posting for her brave Para SF Commando husband.

But fate has other plans.

Capt. Ranvijay is killed in action in the Valley, leaving a devastated Meera all by herself, without the man who instilled in her unquestionable faith in herself, unabashed freedom to be what she wanted to be and pure, unadulterated love. A Veer Nari now, Meera decides to join the Indian Army to honour Capt. Ranvijay's legacy, but she ends up setting in motion a tech-led, strategic and audacious plan of action to deliver a much-deserved payback not just for herself but for the entire nation."
The Quick And Easy Way To Effective Speaking,Dale Carnegie,119,"2,050 ratings",4.3,No reviews,"If you often struggle to communicate effectively and end up losing your confidence, this is the book for you!“Believe that you will succeed. Believe it firmly and you will then do what is necessary to bring success about.”From acquiring the basic skills for effective speaking to the art of communicating and delivering a talk, this book will guide you through developing confidence, earning the right to talk, choosing your subject and arranging your ideas and conversing with your audience. It also discusses how to convince people with your talk and impromptu speaking. A timeless classic, Dale Carnegie’s The Quick and Easy Way to Effective Speaking has helped millions to speak effectively and confidently. It continues to be an inspiration for all those who are looking forward to improve their communication skills and express themselves with ease and confidence."
"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,138,"6,936 ratings",4.6,"Customers say the book contains great thoughts and precious letters of Singh to his parents and friends. Opinions are mixed on the printing quality and writing quality, with some finding it good and easy to understand, while others find it poor and challenging to comprehend.","Bhagat Singh is a name that became synonymous with revolution in India’s struggle for independence. This young boy brought about a change in the way people thought about freedom. He was well read and fought extensively for rights – his own, his comrades’ and his countrymen’s. A discussion with a friend soon turned into a matter of self-assessment for Bhagat Singh, leading to a discourse on why he chose to be an atheist. Even in the face of death at a very young age, his uncanny observation leads to his putting forth some pertinent questions. On another occasion, he was disappointed with his father’s plea in Court for his innocence and chose to write a letter to him. This book is a collection of eighteen of his valued writings from within the walls of prison and outside it, which show us the resolve in his words, and the bravery in his acts subsequently."
The Quick And Easy Way To Effective Speaking,Dale Carnegie,119,"2,050 ratings",4.3,No reviews,"If you often struggle to communicate effectively and end up losing your confidence, this is the book for you!“Believe that you will succeed. Believe it firmly and you will then do what is necessary to bring success about.”From acquiring the basic skills for effective speaking to the art of communicating and delivering a talk, this book will guide you through developing confidence, earning the right to talk, choosing your subject and arranging your ideas and conversing with your audience. It also discusses how to convince people with your talk and impromptu speaking. A timeless classic, Dale Carnegie’s The Quick and Easy Way to Effective Speaking has helped millions to speak effectively and confidently. It continues to be an inspiration for all those who are looking forward to improve their communication skills and express themselves with ease and confidence."
Chanakya Neeti,Radhakrishnan Pillai,248,"2,019 ratings",4.5,"Customers find the book's content amazing, with nice representation of Chanakya's thought with examples. They also describe the lessons as great, knowledgeable, and applicable. Opinions are mixed on the writing quality, with some finding it simple and enjoyable, while others say it has translation mistakes and lacks thorough understanding of the topic.","Strategies for Success“An action contemplated shouldn’t ever be advertised; But kept a secret like a mantra, and revealed in time.”We all feel stuck at times. There could be many reasons for this—issues at work, unhappy family life, financial troubles or embarrassing social situations. Most of us could use a little advice in these circumstances. Chanakya Neeti provides precisely that guidance to face life’s many daunting challenges. Chanakya, the great thinker and teacher, is well-known for his insights into the needs of both the privileged and the masses. The original Chanakya Neeti was written over two thousand years ago, but its brilliant verses are still applicable today because the basic quests of man remain the same—peace, prosperity and happiness. In this volume, Radhakrishnan Pillai offers a modern interpretation of Chanakya’s crisp and practical maxims in his characteristic easy-to-follow and elegant prose. Imbibe Chanakya’s wisdom to break loose from the web of troubles and create the life you desire on your terms.Radhakrishnan Pillai is the bestselling author of Corporate Chanakya, Chanakya’s 7 Secrets of Leadership, Chanakya in You, Katha Chanakya and Thus Spoke Chanakya. He has a Master’s degree in Sanskrit and has done his PhD in Kautilya’s Arthashastra. A renowned management consultant and speaker, he is the Deputy Director of the Chanakya International Institute of Leadership Studies (CIILS) at the University of Mumbai. He tweets using the handle @rchanakyapillai and is also active on other major social media platforms."
The Monk Who Sold His Ferrari,Robin Sharma,198,"34,075 ratings",4.5,"Customers find the content in the book to be a life changer, good for professionals who work in stressful environments, and kindling your inner fire. They also appreciate the writing style as nice and good techniques on mastering your mind and thought processes. However, some find the entertainment value boring and not worth buying.","A renowned inspirational fiction, The Monk Who Sold His Ferrari is a revealing story that offers the readers a simple yet profound way to live life. The plot of this story revolves around Julian Mantle, a lawyer who has made his fortune and name in the profession. A sudden heart-attack creates havoc in the successful lawyer?s life. Jolted by the sudden onset of the illness, his practice comes to a standstill. He ponders over material success being worth it all, renounces all of it and leaves for India. A visit to India about a spiritual awakening that opens up new vistas and Julian begins to view life in a different perspective. He decides to live his life once again but in a way that is much more fulfilling and meaningful than before. In the book, the reader goes through a spiritual journey and into a very old culture that has gathered much wisdom over the millennia. The book advocates about how to live happily, think deep and rightly, value time and relationships, be more disciplined, follow the heart?s call and live every moment of the life. Written in simple words, the book has turned out to be a bestseller and is more than just an endearing story. Through storytelling, Robin Sharma showcases the miracles and wonders of living a fulfilling life. In the process, the book introduces readers to enlightening yet simple principles that vouch to make life better, happier and more meaningful. A bestselling novel, what readers all over the globe appreciate about this book is its deft amalgam of the philosophies from both western and eastern worlds. The book has been followed by important personalities around the world. About the Author Robin Sharma, the bestselling author of 'The Monk Who Sold His Ferrari', first published in 1999, is an International Leadership Professional Guru who is credited with having written 15 books on leadership. He has been guiding people to live a better life, by drawing inspiration from his own life experiences. The Leader Who Had No Title, The Leader Who Had No Title, The Greatness Guide and The Saint and The Saint are among his best books. He heads the Sharma Leadership International Inc, a firm that trains people in leadership. A former litigation lawyer, Robin holds a law degree from Dalhousie Law School, Canada. This book along with The Greatness Guide has been among the world?s bestsellers and has been translated in as many as 70 languages all over the world."
The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,299,798 ratings,4.6,"Customers find the book interesting and enlightening, with clear and engaging content. They describe the reading experience as fantastic, accessible to all readers, and increase positivity, productivity, and prosperity. Readers also appreciate the engaging storytelling and short chapters. They also mention the relationships are interconnected and well narrated.",""""
The Importance of Being Earnest,Oscar Wilde,109,"4,910 ratings",4.5,"Customers find the humor witty, funny, and smartly written. They also say the storyline is good and exciting. Readers describe the book as a good, quick read that's exciting and well-annotated. They appreciate the helpful introduction and well annotated plays.","Indulge in the delightful wit and satire of The Importance of Being Earnest by Oscar Wilde. This comedic masterpiece is a whimsical exploration of societal conventions, mistaken identities, and the absurdities of Victorian society, guaranteed to leave you laughing out loud."
Great Truths That Set Us Free,Dr. Joseph Murphy,119,233 ratings,4.3,No reviews,"You are creating your life, This very moment, by your thoughts. Your imagination is like a Canvas. Paint a picture, have faith in the reality of its existence, and your picture will come to life. You are capable of healing yourself and others. You possess infinite intelligence. All these seemingly-impossible statements are hard facts. And these facts, these empowering truths have been hiding in plain sight. Dr. Joseph Murphy, in great truths that set us free, claims that such truths have been alluded to in one of the most widely-read religious texts: The Bible. Addressing topics such as when will the answer to a prayer come to pass, how to make right decisions, and the power of blind belief, practices enumerated in this ground-breaking book, and their practical application, will transform your life."
The Pickpocket and the Gargoyle,Lindsay Eagar,281,5 ratings,3.7,No reviews,A beautifully crafted epic adventure spiced with magic from the acclaimed author of
